id,name,short_name,section_name,short_source,description
91,High School Dropout/Withdrawl Rate,drop,Education,BCPSS,"The percentage of 9th through 12th graders who withdraw from public school out of all high school students in a school year. Withdraw codes are used as a proxy for dropping out of school based upon the expectation that withdrawn students are no longer receiving educational services. A dropout is defined as a student who, for any reason other than death, leaves school before graduation or the completion of a Maryland-approved education program and is not known to enroll in another school or State-approved program during a current school year."
92,High School Completion Rate,compl,Education,BCPSS,The percentage of 12th graders in a school year that successfully completed high school out of all 12th graders within an area. Completers are identified as completing their program of study at the high school level and satisfying the graduation requirements for a Maryland High School Diploma or the requirements for a Maryland Certificate of Program Completion
93,Persons Receiving a GED,,Education,,
94,Percent of Students Switching Schools within School Year,sclsw,Education,BCPSS,"The percentage of 1st through 12th graders who change schools out of all students in a school year. Students must have attended both schools for which they were registered for at least one day.  Additionally, this indicator only identifies the share of students that change schools for any reasons and not the frequency, number of school switches, or change in residences in a school year.  The percentage reflects the last home address available for the student who changed schools.  This may or may not be the home address provided for the first school that they are registered to attend.  "
95,Percentage of Students Attending Zoned School ,,Education,,
96,Average Distance Travelled to School (6th-8th Grade),,Education,,
97,Average Distance Travelled to School (9th-12th Grade),,Education,,
98,Percentage of Population aged 16-19 in School and/or Employed,sclemp,Education,ACS,The percentage of persons aged 16 to 19 who are in school and/or are employed out of all persons in their age cohort.
99,"Teen Pregnancy Rate per 1,000 Females (aged 15-19)",teenbir,Health and Human Welfare,Vital Statistics,"The rate of female teens aged 15-19 that gave birth per 1,000 females aged 15-19.     "
100,Percent of Births Delivered at Term (37-42 Weeks),termbir,Health and Human Welfare,Vital Statistics,The percentage of births delivered at term measures the percentage of births in a calendar year where the baby is delivered between 37 and 42 weeks of gestation.
101,Percent of Babies Born with a Satisfactory Birth Weight,birthwt,Health and Human Welfare,Vital Statistics,The percentage of children born with a birth weight of at least 5 ½ pounds out of all births in the area.  
102,Percent of Births Where the Mother Received Early Prenatal Care (First Trimester),prenatal,Health and Human Welfare,Vital Statistics,The percentage of births where the mother received prenatal care during the first trimester of the pregnancy in a calendar year out of all births within an area. This information is calculated by the Vital Statistics registration information collected from each live birth. 
103,Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels,leadtest,Health and Human Welfare,MDE,This indicator reflects the total number of children aged 0-6 who are tested for the presence of blood lead in a calendar year.
104,Percent of Children (aged 0-6) with Elevated Blood Lead Levels,ebll,Health and Human Welfare,MDE,The number of children aged 0-6 that are found to either have elevated blood lead levels  (≥10Mg/dL) or lead poisoning (≥20 Mg/dL) out of the number of children tested within an area in a calendar year. 
105,"Percent of Lead Violations per 1,000 Residential Units",leadv,Health and Human Welfare,City Health,
106,Percent of Families Receiving TANF,tanf,Health and Human Welfare,MD DHR,"Temporary Assistance for Needy Families (TANF) is a federal assistance program. The Act provides temporary financial assistance while aiming to get people off of that assistance, primarily through employment.  "
107,Percent of Persons receiving SNAP,,Health and Human Welfare,,
108,Fetal Mortality Rate,,Health and Human Welfare,,
109,"Liquor Outlet density (per 1,000 Residents)",liquor,Health and Human Welfare,City Liquor Board,"This indicator reflects the number of business establishments that possess a Class A (Off Sale package goods no on-premises consumption - 6 days, 6:00 a.m.- Midnight. No Sunday sales except Sundays between Thanksgiving Day and New Year's Day upon issuance of a special license for each Sunday) or BD7 (tavern) business license that allows them to sell beer, wine, or liquor. Other liquor licenses to restaurants or on-premise consumption were not included in this analysis. This number is provided by 1,000 residents to allow for comparison across neighborhoods"
110,"Fast Food Outlet Density (per 1,000 Residents)",fastfd,Health and Human Welfare,JHU-CLF,"The Johns Hopkins Center for a Livable Future (CLF) obtained the food permit list from the Baltimore City Health Department in August 2011, which includes all sites that sell food, such as stores, restaurants and temporary locations such as farmers’ market stands and street carts. The restaurants were grouped into three categories, including full service restaurants, fast food chains and carryouts. Carryout and fast food chain restaurants were extracted from the restaurant layer and spatially joined with the 2010 Community Statistical Area (CSA) data layer, provided by BNIA-JFI. The prepared foods density, per 1,000 people, was calculated for each CSA using the CSA’s population and the total number of carryout and fast food restaurants, including vendors selling prepared foods in public markets, in each CSA."
111,Number of Persons calling UWCM 211 for Health-Related Services ,,Health and Human Welfare,,
112,"Rate of STDs per 1,000 Residents (Chlamydia, Gonorrhea, and Syphilis)",,Health and Human Welfare,,
113,"Rate of HIV/AIDS per 1,000 Residents",,Health and Human Welfare,,
114,Life Expectancy,lifexp,Health and Human Welfare,City Health,"The average number of years a newborn can expect to live, assuming he or she experiences the currently prevailing rates of death through their lifespan.  "
115,Infant Mortality,mort1_,Health and Human Welfare,City Health,"The number of infant deaths (babies under one year of age) per 1,000 live births within the area in a five year period.  This is the most stable and commonly measured indicator of mortality in this age group. "
116,Mortality by Age (1-14 years old),mort14_,Health and Human Welfare,City Health,"The number of deaths of persons between the ages of one and 14 per 10,000 persons within the area in a five year period.  "
117,Mortality by Age (15-24 years old),mort24_,Health and Human Welfare,City Health,"The number of deaths of persons between the ages of 15 and 24 per 10,000 persons within the area in a five year period."
118,Mortality by Age (25-44 years old),mort44_,Health and Human Welfare,City Health,"The number of deaths of persons between the ages of 25 and 44 per 10,000 persons within the area in a five year period"
119,Mortality by Age (45-64 years old),mort64_,Health and Human Welfare,City Health,"The number of deaths of persons between the ages of 45 and 64 per 10,000 persons within the area in a five year period.  "
120,Mortality by Age (65-84 years old),mort84_,Health and Human Welfare,City Health,"The number of deaths of persons between the ages of 65 and 84 per 10,000 persons within the area in a five year period."
121,Mortality by Age (85 and over),mort85_,Health and Human Welfare,City Health,"The number of deaths of persons 85 years and older per 10,000 persons within the area in a five year period.  "
122,Causes of Death (analysis of top causes),,Health and Human Welfare,,
123,Causes of Death (analysis of top causes),,Health and Human Welfare,,
124,Causes of Death (analysis of top causes),,Health and Human Welfare,,
125,Causes of Death (analysis of top causes),,Health and Human Welfare,,
126,Causes of Death (analysis of top causes),,Health and Human Welfare,,
127,Percent of persons with health insurance,,Health and Human Welfare,,
128,"Number of Persons with Library Cards per 1,000 Residents",libcard,Arts and Culture,Enoch Pratt,"The rate of persons per 1,000 residents that possess a valid public library system card. This includes all library card types (first card, juvenile, young adult, adult).  "
129,"Number of Event Permits Requested per 1,000 Residents",artevnt,Arts and Culture,DOT,"The number of event permits requested per 1,000 residents. Events include, but are not limited to, festivals, block parties, races, and parades. In the event of a large event, the central point is used to calculate the location of the request."
130,"Public Art per 1,000 Residents",publartxx,Arts and Culture,BOPA,"The number of works of public art per 1,000 residents. These works include, but are not exclusive to, murals, monuments, sculptures, mosaics, and stained glass. The Baltimore Office of Promotion and the Arts tracks works created through the 1% for Public Art and Baltimore Mural Programs and maintains general inventories of public art and murals.  Additional inventories of public art exist, but not at a comprehensive citywide scale and hence cannot be broken down into cross-neighborhood analyses."
131,"Number of Businesses that are Arts-Related per 1,000 residents",artbus,Arts and Culture,InfoUSA,"The rate of businesses (both for-profit and non-profit) that are directly related to arts and culture per 1,000 residents.  Arts-related businesses are defined as belonging to industries that allow for the consumption and enjoyment of arts and culture. The following industries are identified by their primary NAICS code: music, literary, and visual arts-related retail/supplies (451140, 451211, 451220); art dealers (453920, 453920); libraries (519120); motion picture and film (521310, 532230); art schools (611610); performing arts (711110, 711120, 711130, 711190); independent artists, writers, and performers (711510); museums (712110); historical sites (712120); and zoos, gardens and nature parks (712130, 712190). The following industries are identified by their primary SIC codes: designers (152106); art publishers (274101), music, literary, and visual arts-related retail/supplies (393101, 519202, 573608, 573609, 593201, 594201, 594205, 594501, 594520, 594601, 599965, 769969); art galleries, dealers, and consultants (599969, 599988, 599989); photography (722121); calligraphers (733607); embroidery (738942); theatres (783201, 792207); theatrical support (792211, 792212); musical and live entertainment (792903, 792905, 792906, 792908, 792917, 792918, 792927); parks (799951); art and music instruction (804958, 829915, 829919); libraries (823111); museums (841201); arts organizations (841202); zoos (842201); writers (899903); visual artists (899907, 899912); art restoring (899908); and music arrangers and composers (899921)."
132,Total Employment in Arts-Related Businesses,artemp,Arts and Culture,InfoUSA,The number of persons employed in arts-related businesses (both for-profit and non-profit). This number does not count those persons who identify themselves as being artists and does not count sole proprietorships or persons who work part-time in the arts. The same industries used to calculate the rate of arts-related businesses are used to calculate total employment in arts-related businesses.  
133,Percentage of Businesses that are Non-Profits,,Arts and Culture,,
134,Percent  Population 16-64 Employed,empl,Economic and Workforce Development,ACS,"The number of persons between the ages of 16 and 64 formally employed or self-employed and earning a formal income. It is used to understand how many persons are working out of the entire population, not just those in the labor force (persons who may be looking for work or working).        "
135,Percent  Population 16-64 Unemployed and Looking for Work,unempl,Economic and Workforce Development,ACS,"The number of persons between the ages of 16 and 64 not working out of all persons, not just those in the labor force (persons who may be looking for work). These persons are seeking work that pays a formal income.  "
136,Percent  Population 16-64 Not in Labor Force,nilf,Economic and Workforce Development,ACS,The number of persons who are not in the labor force out of all persons between the ages of 16 and 64 in the area. There are several reasons why persons may not be included in the labor force. These reasons may include: they are caretakers for children or other family members; they attend school or job training; they may have a disability; and they are discouraged or frustrated and have given up seeking a job or have a history that may include criminal activity.    
137,Unemployment Rate,unempr,Economic and Workforce Development,ACS,The number of persons between the ages of 16 and 64 that are in the labor force (and are looking for work) but are not currently working.     
138,Percent  Population (25 years and over) With Less Than a High School Diploma or GED,lesshs,Economic and Workforce Development,ACS,"The percentage of persons that have not completed, graduated, or received a high school diploma or GED. This is a standard indicator used to measure the portion of the population with less than a basic level of skills needed for the workplace. Persons under the age of 25 are not included in this analysis since many of these persons are still attending various levels of schooling.        "
139,Percent  Population (25 years and over) With High School Diploma and Some College or Associates Degree,hsdipl,Economic and Workforce Development,ACS,"The percentage of persons that have completed, graduated, or received a high school diploma or GED and also has taken some college courses or completed their Associate's degree. This is a standard indicator used to measure the portion of the population with a basic level of skills needed for the workplace. Persons under the age of 25 are not included in this analysis since many of these persons are still attending various levels of schooling.        "
140,Percent  Population (25 years and over) with a Bachelor's Degree or Above,bahigher,Economic and Workforce Development,ACS,"The percentage of persons that have completed, graduated, or received a Bachelor’s or an advanced degree. This is an indicator used to measure the portion of the population having an advanced level of skills needed for the workplace. Persons under the age of 25 are not included in this analysis since many of these persons are still attending various levels of schooling.        "
141,Total Number of Commercial Properties,comprop,Economic and Workforce Development,Maryland Property View,The total number of commercial properties located within an area in a particular year. 
142,"Percent of Commercial Properties with Rehab Permits Above $5,000",crehab,Economic and Workforce Development,City Housing,"The percentage of properties that are investing within their current establishment and not the level of their investment. Permits for work below $5,000 are considered to be minor and not included in this indicator. A single establishment can apply for and receive multiple permits.    "
143,Total Number of Businesses,numbus,Economic and Workforce Development,InfoUSA,The total number of businesses (both for-profit and non-profit) within an area at a single time in a year. 
144,Total Number of Employees,totemp,Economic and Workforce Development,InfoUSA,The total number of persons employed by businesses (both for-profit and non-profit) within an area at a single time in a year. 
145,Number of Businesses with Under 50 Employees,smlbus,Economic and Workforce Development,InfoUSA,The total number of businesses (both for-profit and non-profit) that report having less than 50 persons employed within an area at a single time in a year.           
146,Percent of Employed Residents who Work Outside the City,wrkout,Economic and Workforce Development,LEHD,The percentage of workers that are employed by jobs located outside of Baltimore City. Only persons who report being employed and are at least 16 years old are included in the analysis. 
147,CRA data (residential and commercial),,Economic and Workforce Development,,
148,CRA data (residential and commercial),,Economic and Workforce Development,,
149,"Number of Banks and Bank Branches per 1,000 Residents",banks,Economic and Workforce Development,FDIC,"The number of banks and bank branches per 1,000 residents within an area. "
150,Percent of Businesses that are 1 year old or less,biz1_,Economic and Workforce Development,InfoUSA,The percentage of businesses (both for-profit and non-profit) that report their establishment as being one year old or less. The age of the business is determined by the year that the first year they appeared in the InfoUSA database.        
151,Percent of Businesses that are 2 years old or less,biz2_,Economic and Workforce Development,InfoUSA,The percentage of businesses (both for-profit and non-profit) that report their establishment as being two years old or less. The age of the business is determined by the year that the first year they appeared in the business database.        
152,Percent of Businesses that are 4 years old or less,biz4_,Economic and Workforce Development,InfoUSA,The percentage of businesses (both for-profit and non-profit) that report their establishment as being four years old or less. The age of the business is determined by the year that the first year they appeared in the business database. A business that has been in operation more than four years has a greater likelihood of remaining open for a longer period of time.        
153,Percent of Adult Population on Parole/Probation,prbprl,Economic and Workforce Development,,The percentage of the population age 18 and older that are on parole or probation.
154,Percent of CSA that is Either Low or Moderate income (by Census tract),,Economic and Workforce Development,,
155,"Percent  of persons in MOED training programs (per 1,000 residents)",,Economic and Workforce Development,,
156,Percent of Population with Broadband Internet Access,,Economic and Workforce Development,,
157,Number of Businesses by Selected Neighborhood Industry (NAICS Sectors),neiind,Economic and Workforce Development,InfoUSA,"The number of businesses (both for-profit and non-profit) that provide products and services to local residents. The industries included in this indicator are: Retail Trade (NAICS 44-45); Finance and Insurance (NAICS 52); Professional, Scientific, and Technical Services (NAICS 54); Health Care and Social Assistance (NAICS 62); Arts, Entertainment, and Recreation (NAICS 71); Accommodation and Food Services (NAICS 72); and Other Services except Public Administration (NAICS 81). The primary industry reported by each business was used to determine their inclusion.            "
158,"Neighborhood Businesses per 1,000 residents (NAICS Sectors)",neibus,Economic and Workforce Development,InfoUSA,"The number of businesses (both for-profit and non-profit) that provide products and services to local residents per 1,000. The industries included in this indicator are: Retail Trade (NAICS 44-45); Finance and Insurance (NAICS 52); Professional, Scientific, and Technical Services (NAICS 54); Health Care and Social Assistance (NAICS 62); Arts, Entertainment, and Recreation (NAICS 71); Accommodation and Food Services (NAICS 72); and Other Services except Public Administration (NAICS 81). The primary industry reported by each business was used to deter-mine their inclusion. "
159,Total number of Employees by Selected Neighborhood Industry (NAICS Sectors),neiemp,Economic and Workforce Development,InfoUSA,"The number of persons employed by businesses (both for-profit and non-profit) that provide products and services to local residents. The industries included in this indicator are: Retail Trade (NAICS 44-45); Finance and Insurance (NAICS 52); Professional, Scientific, and Technical Services (NAICS 54); Health Care and Social Assistance (NAICS 62); Arts, Entertainment, and Recreation (NAICS 71); Accommodation and Food Services (NAICS 72); and Other Services except Public Administration (NAICS 81). The primary industry reported by each business was used to determine their inclusion. The persons employed by these businesses may not necessarily live in the neighborhood where the business is located.            "
160,Percent of Population (Over the age of 18) Who are Registered to Vote,regvote,Sustainability,City Elections,The percentage of persons over the age of 18 registered to vote out of all persons 18 years and over..            
161,Percent Population (Over the age of 18) Who Voted in the General Election,voted,Sustainability,City Elections,The percentage of persons who voted in the last general election out of all registered voters            
162,"Rate of Dirty Streets and Alleys Reports per 1,000 Residents",dirtyst,Sustainability,CitiStat,"The rate of service requests for dirty streets and alleys through Baltimore’s 311 system per 1,000 residents. More than one service request may be made for the same issue but is logged as a unique request."
163,"Rate of Clogged Storm Drain Reports per 1,000 Residents",clogged,Sustainability,CitiStat,"The rate of service requests for addressing clogged storm drains made through Baltimore’s 311 system per 1,000 residents.  More than one service request may be made for the same issue but is logged as a unique request."
164,Percent of Population that Drove Alone to Work,drvalone,Sustainability,ACS,The percentage of commuters driving alone out of all commuters aged 16 and above.    
165,Percent of Population that Carpool to Work,carpool,Sustainability,ACS,The percentage of commuters that carpool out of all commuters aged 16 and above.    
166,Percent of Population that Uses Public Transportation to Get to Work,pubtran,Sustainability,ACS,The percentage of commuters that use public transit out of all commuters aged 16 and above.
167,Percent of Population that Walks to Work,walked,Sustainability,ACS,The percentage of commuters that walk to work out of all commuters aged 16 and above.
168,Percent of Employed Population with Travel Time to Work of 0-14 Minutes,trav14_,Sustainability,ACS,The percentage of commuters that spend less than 15 minutes commuting to work out of all commuters aged 16 and above.    
169,Percent of Employed Population with Travel Time to Work of 15-29 Minutes,trav29_,Sustainability,ACS,The percentage of commuters that spend between 15 and 29 minutes commuting to work out of all commuters aged 16 and above.    
170,Percent of Employed Population with Travel Time to Work of 30-44 Minutes,trav44_,Sustainability,ACS,The percentage of commuters that spend between 30 and 44 minutes travelling to work out of all commuters aged 16 and above.    
171,Percent of Employed Population with Travel Time to Work of 45 Minutes and Over,trav45_,Sustainability,ACS,The percentage of commuters that spend more than 45 minutes travelling to work out of all commuters aged 16 and above.    
172,Percent of Area Covered by Trees,trees,Sustainability,University of Vermont,"The percent of total land area comprised of tree canopy. The primary sources for this land cover layer were 2004 pan-sharpened 1m Ikonos satellite imagery, a normalized Digital Surface Model (nDSM) derived from 2006 LiDAR data, and LiDAR intensity data resulting from the 2006 acquisition. Other sources of data include the City's planimetric GIS database (building footprints and road casing polygons). The land cover classification was performed using automated object-based image analysis (OBIA) techniques in Definiens Developer/eCognition Server. No accuracy assessment was conducted, but the dataset was thoroughly reviewed at a scale of 1:2000. Over 370 corrections were made to the classification.  "
173,Air Quality Risk,,Sustainability,,
174,Percent of Area Covered by Impervious Surface,,Sustainability,,
175,Number of Community Managed Open Spaces,cmos,Sustainability,BNIA-JFI,"The number of community managed open spaces in an area that include community gardens (food-producing or ornamental), Adopt-A-Lots, or some other green space managed by the community. "
176,Median Daily Water Consumption,waterc,Sustainability,DPW,The median daily average water consumption of all city meters registering greater than 0.0 cubic meters per day.
177,"Number of Downspout Disconnections per 1,000 Residences",,Sustainability,,
178,Number of Public Trashcans,,Sustainability,,
179,"Rate of Sewer/Water Main Breaks per 1,000 Residents",,Sustainability,,
180,Natural gas utilization,,Sustainability,,
181,Energy Use,,Sustainability,,
182,Percent of Residences Heated by Utility Gas,heatgas,Sustainability,ACS,The percentage of homes that use utility gas for heat and cooking out of all homes.        
183,Percent of Residences Heated by Electricity,elheat,Sustainability,ACS,The percentage of homes that use electricity for heat and cooking out of all homes.        
184,Percent of Households with No Vehicles Available,novhcl,Sustainability,ACS,The percentage of households that do not have a personal vehicle available for use out of all households in an area.    
185,Number of Photovoltaic/Solar Permits,,Sustainability,,
186,Percent of Homes Weatherized,weather,Sustainability,MD DHCD,"The percent of residential properties that were eligible for and received weatherization assistance such as air sealing or furnace replacements. The Weatherization Assistance Program helps eligible low-income households lower their energy costs by increasing the energy efficiency of their homes, while ensuring their health and safety.         "
187,Walk Score,wlksc,Sustainability,Walk Score,"The Walk Score® is calculated by mapping out the distance to amenities in nine different categories (grocery stores, restaurants, shopping, coffee shops, banks, parks, schools, book stores/libraries, and entertainment) and are weighted according to importance. The distance to a location, counts, and weights determine a base score of an address, which is then normalized to a score from 0 to 100.  More information on Walk Score can be found at http://www.walkscore.com/.     "
188,Aggregate Number of Community Assets,,Sustainability,,
189,Transit data ,,Sustainability,,
190,"Number of Bike Racks per 1,000 Residents",,Sustainability,,
191,Road Quality,,Sustainability,,
192,Number of Miles of Bike Lanes,bkln,Sustainability,DOT,Measures the linear miles of designated bike lanes within the roadway system.
193,Percent  of persons by occupation classification (major classifications),,Economic and Workforce Development,,
194,"Percent of Population Using Other Means to Commute to Work (Taxi, Motorcycle, Bicycle, Other)",othrcom,Sustainability,ACS,The percentage of commuters that use other means to travel to work out of all commuters aged 16 and above.
195,Number of Students Officially Enrolled in 1st - 5th Grade,eenrol,Education,BCPSS,The number of children who have registered for and attend 1st through 5th grade at a Baltimore City Public School as of September 30th. This count only includes students enrolled in public schools.          
196,Number of Students Officially Enrolled in 6th - 8th Grade,menrol,Education,BCPSS,The number of children who have registered for and attend 6th through 8th grade at a Baltimore City Public School as of September 30th. This count only includes students enrolled in public schools. 
197,Number of Students Officially Enrolled in 9th - 12th Grade,hsenrol,Education,BCPSS,The number of children who have registered for and attend 9th through 12th grade at a Baltimore City Public School as of September 30th. This count only includes students enrolled in public schools.
198,Average Healthy Food Availability Index,hfai,Health and Human Welfare,JHU-CLF,"The Johns Hopkins Center for a Livable Future (CLF) calculated HFAI scores for all food stores in Baltimore, in summer 2012, using an adapted version of the NEMS-S (Nutrition Environment Measures Survey in Stores) tool.  The NEMS-S tool was developed by researchers at the Rollins School of Public Health at Emory University to measure the nutritional environment of food retail stores and was designed to assess healthy food availability in grocery and convenience stores.  CLF obtained a food permit list from the Baltimore City Health Department in August 2011, which includes all sites that sell food, such as stores, restaurants, and temporary locations such as farmers’ market stands and street carts.  HFAI scores range from zero to 28.5, with higher scores indicating more availability of healthy and whole food in a food store."
199,Number of Trees of Planted,treeplnt,Sustainability,TreeBaltimore,
200,"Rate of Housing Vouchers per 1,000 Rental Units",hcvhouse,Housing,HUD,
201,"Rate of Businesses in the Creative Economy per 1,000 residents",cebus,Arts and Culture,InfoUSA,"The rate of businesses (both for-profit and non-profit) that are in the creative economy per 1,000 residents. The creative economy is defined as industries that use and support artistic and cultural skillsets to attract and generate capital, knowledge, and information. Arts-based businesses are included in the creative economy. In addition to the industries included in the rate of arts-based businesses indictor, the following industries are identified by their primary NAICS code: Textiles (313220); Commercial Printing (323111, 323113); Book Printers and Publishers (323117, 511130); Print Media (451212, 511110, 511120, 511199, 519110); Motion Picture & Video Production (512110); Music Publishers (512230); Sound Recording (512240); Radio (515112); Architecture (541310, 541320); Interior Design (541410); Graphic Design (541430); Advertising (541810, 541890); and Photography (541921, 541922). In addition to the industries included in the rate of arts-based businesses indictor, the following industries are identified by their primary SIC code: Print Media (271101, 271102, 271198, 272101, 272102, 272104, 273101, 273198, 596302, 599401); Publishers (273298, 274104, 274105, 874205); Printers (275202, 275202, 275902, 275998); Bookbinders (278902); Radio (483201); Television (483301, 484101, 792205, 824911); Textiles (513122, 594904); Advertising (519917, 731101, 731115, 731305, 731999); Fashion Designers (569901, 594408); Photography (722101, 722113, 722120, 733501, 738401); Graphic Design (733603); Commercial Artists (733604); Website Design (737311); General Media (738301); Interior Design (738902); Restoration (764112); Landscape Design (781030); Motion Picture and Video Support (781205, 781211, 781901); Architecture (871202, 871207, 871209, 874892); and Business Writers (899902)."
202,Number of Employees in the Creative Economy,ceemp,Arts and Culture,InfoUSA,The number of persons employed in the creative economy (both for-profit and non-profit). This number does not count those persons who identify themselves as being artists and does not count sole proprietorships or persons who work part-time in the arts. The same industries used to calculate the rate businesses in the creative economy are used to calculate total employment in the creative economy.
203,Number of Public Murals,murals,Arts and Culture,BOPA,"The number of murals per CSA. Murals are also included in the “Public Art per 1,000 residents” indicator. Murals are separated out as a sub-indicator so they can be analyzed at the point-level."
204,Number of Total Jobs Filled by Employees ,totjobs,Economic and Workforce Development,LEHD,Measures the number of total jobs per CSA (only counts jobs that are currently held by employees)
205,"Number of Arrests per 1,000 residents",arrest,Crime and Safety,BCPD,